,TYPE,NUMBER,SESSION,AUTHORSHIP,TITLE,URL
0,Projeto de Lei,754/XIV,2,Cidadãos,"
Resgate Animal no Plano Nacional de Emergência",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110570
1,Projeto de Lei,753/XIV,2,PAN,"
Clarifica a prorrogação do prazo para entrega e apresentação de teses ou dissertações, através de uma norma interpretativa da Lei n.º 75-B/2020, de 31 de Dezembro",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110567
2,Projeto de Lei,752/XIV,2,PAN,"
Altera o Decreto-Lei n.º 22-D/2021, de 22 de Março, possibilitando a realização de exame de melhoria de nota interna no ensino secundário ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110561
3,Projeto de Lei,751/XIV,2,PEV,"
Reforça a proteção no acolhimento de crianças e jovens (alteração à Lei n.º 147/99, de 01 de setembro - Lei de Proteção de Crianças e Jovens em Perigo) ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110556
4,Projeto de Lei,750/XIV,2,PCP,"
Retoma das medidas de acolhimento e programa de autonomização de crianças e jovens em perigo (quinta alteração à Lei n.º 147/99, de 1 de setembro, que aprova a Lei de Proteção de Crianças e Jovens em Perigo) ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110553
5,Projeto de Lei,749/XIV,2,PEV,"
Procede à revogação das Autorizações de Residência para Atividade de Investimento (vistos gold)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110546
6,Projeto de Lei,748/XIV,2,PEV,"
Instrumentos de gestão do arvoredo em meio urbano",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110543
7,Projeto de Lei,747/XIV,2,PS,"
Prorroga medidas excecionais e temporárias para salvaguarda dos direitos dos estudantes do ensino superior",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110540
8,Projeto de Lei,746/XIV,2,PAN,"
Determina a instalação de circuitos fechados de televisão em matadouros",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110536
9,Projeto de Lei,745/XIV,2,BE,"
Altera o regime jurídico-laboral de teletrabalho, garantindo maior proteção do trabalhador (19.ª alteração ao Código do Trabalho e 1ª alteração da Lei n.º 98/2009, de 4 de setembro, que regulamenta o regime de reparação de acidentes de trabalho e de doenças profissionais)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110535
0,Projeto de Lei,744/XIV,2,PSD,"
Procede à alteração dos limites territoriais da freguesia de Folgosa, do concelho da Maia e das freguesias de Coronado (São Romão e São Mamede) e Covelas do concelho da Trofa",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110532
1,Projeto de Lei,743/XIV,2,PSD,"
Procede à alteração dos limites territoriais da freguesia de Castêlo da Maia, do concelho da Maia e das freguesias de Alvarelhos e Guidões, Muro e Coronado do concelho da Trofa",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110531
2,Projeto de Lei,742/XIV,2,PCP,"
Determina a recomposição das carreiras dos militares graduados deficientes das Forças Armadas",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110523
3,Projeto de Lei,741/XIV,2,BE,"
Aprova o regime jurídico da proteção, conservação e fomento do arvoredo urbano",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110522
4,Projeto de Lei,740/XIV,2,PCP,"
Estabelece medidas com vista à eliminação dos exames, fixando um regime transitório para conclusão do ensino secundário e acesso ao ensino superior no ano letivo 2020/2021",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110520
